Timestamp,Altitude,Speed,Track,squawk,Latitude,Longitude,Distance
2025-04-22T08:19:37Z,5750,246,274,0,43.15639,-2.50769,14.423146214343191
2025-04-22T08:19:39Z,5750,242,277,0,43.15672,-2.51136,14.18640930347969
2025-04-22T08:19:41Z,5750,237,280,0,43.15704,-2.51436,13.997689679954327
2025-04-22T08:19:44Z,5750,234,283,0,43.15768,-2.51811,13.778885573587159
2025-04-22T08:19:46Z,5750,230,285,0,43.15833,-2.52149,13.589380313353637
2025-04-22T08:19:48Z,5750,228,287,0,43.15891,-2.52398,13.458297308400219
2025-04-22T08:19:50Z,5750,225,289,0,43.15974,-2.52738,13.285182602402987
2025-04-22T08:19:53Z,5750,222,290,0,43.16066,-2.53069,13.12811664215187
2025-04-22T08:19:55Z,5750,221,292,0,43.16144,-2.53324,13.014996245970869
2025-04-22T08:19:57Z,5750,220,292,0,43.16222,-2.53586,12.900346364766648
2025-04-22T08:19:59Z,5750,219,293,0,43.1629,-2.53803,12.81012901450014
2025-04-22T08:20:01Z,5750,219,294,0,43.16398,-2.54118,12.689884387212874
2025-04-22T08:20:04Z,5750,219,295,0,43.165,-2.54418,12.579593737682732
2025-04-22T08:20:06Z,5750,219,295,0,43.16589,-2.54667,12.494972330048034
2025-04-22T08:20:08Z,5750,218,296,0,43.16696,-2.54968,12.39693935582948
2025-04-22T08:20:10Z,5750,218,296,0,43.16808,-2.55262,12.312109853783484
2025-04-22T08:20:13Z,5750,218,296,0,43.16901,-2.55517,12.239573589033638
2025-04-22T08:20:15Z,5750,218,296,0,43.17018,-2.55828,12.159420076480359
2025-04-22T08:20:17Z,5750,217,297,0,43.1712,-2.56099,12.094645011943658
2025-04-22T08:20:30Z,5675,212,297,0,43.17706,-2.57643,11.822917969281681
2025-04-22T08:20:45Z,5475,202,297,0,43.18369,-2.59373,11.722115810387288
2025-04-22T08:20:58Z,5250,195,297,0,43.1893,-2.60814,11.811060365014011
2025-04-22T08:21:11Z,5000,190,297,0,43.19475,-2.62246,12.031310233095809
2025-04-22T08:21:24Z,4775,185,297,0,43.19987,-2.63593,12.362126296291322
2025-04-22T08:21:31Z,4650,184,297,0,43.20259,-2.64323,12.582423975261054
2025-04-22T08:21:39Z,4500,182,296,0,43.20584,-2.65198,12.885841674444654
2025-04-22T08:21:48Z,4325,182,297,0,43.20909,-2.66072,13.230510636887672
2025-04-22T08:21:56Z,4175,180,296,0,43.21239,-2.66955,13.61917210944119
2025-04-22T08:22:03Z,4050,180,296,0,43.21477,-2.676,13.922371560352923
2025-04-22T08:22:11Z,3900,180,296,0,43.21793,-2.68456,14.35218007309185
2025-04-22T08:22:18Z,3775,179,296,0,43.22035,-2.69108,14.700315887678864
2025-04-22T08:22:27Z,3575,179,296,0,43.22371,-2.70015,15.209318079510911
2025-04-22T08:22:36Z,3425,178,296,0,43.22708,-2.70928,15.747599640259706
2025-04-22T08:22:42Z,3300,179,296,0,43.22946,-2.71573,16.142791064938052
2025-04-22T08:22:49Z,3175,179,296,0,43.23203,-2.72263,16.580694368516806
2025-04-22T08:22:57Z,3025,178,296,0,43.23514,-2.73113,17.13069813006683
2025-04-22T08:23:04Z,2900,172,296,0,43.23758,-2.73769,17.570756920350846
2025-04-22T08:23:13Z,2725,162,296,0,43.24068,-2.74613,18.146215845622827
2025-04-22T08:23:22Z,2575,158,297,0,43.24365,-2.75406,18.705290792280877
2025-04-22T08:23:28Z,2475,156,297,0,43.24568,-2.75953,19.095516466504385
2025-04-22T08:23:35Z,2375,155,296,0,43.24796,-2.76574,19.542044436065733
2025-04-22T08:23:44Z,2250,156,296,0,43.25075,-2.77333,20.096203855573286
2025-04-22T08:23:50Z,2150,155,296,0,43.25276,-2.77877,20.499482922043793
2025-04-22T08:23:57Z,2025,155,296,0,43.2551,-2.7851,20.973811471529935
2025-04-22T08:24:04Z,1925,149,296,0,43.25725,-2.79104,21.419049005905904
2025-04-22T08:24:12Z,1775,143,296,0,43.25981,-2.798,21.949954779573172
2025-04-22T08:24:19Z,1675,137,296,0,43.26164,-2.80305,22.335890699574097
2025-04-22T08:24:31Z,1500,129,296,0,43.26514,-2.8125,23.072231513172632
2025-04-22T08:24:44Z,1350,126,296,0,43.26854,-2.82172,23.797310150396942
2025-04-22T08:24:54Z,1225,125,296,0,43.27114,-2.82885,24.360345332958296
2025-04-22T08:25:03Z,1100,125,296,0,43.27352,-2.83539,24.87994591078135
2025-04-22T08:25:17Z,925,125,296,0,43.27707,-2.84514,25.660681769963265
2025-04-22T08:25:22Z,875,125,296,0,43.27831,-2.84853,25.934209786549097
2025-04-22T08:25:31Z,750,126,296,0,43.28069,-2.85494,26.456613109075935
